Agency	General Type	Granular Type	Latitude	Longitude	County	"June 30, 2016 Accrued Liability (AL)"	"June 30, 2016 Market Value of Assets (MVA)"	"June 30, 2016 Unfunded Accrued Liability (UAL)"	2017-18 Estimated Total Employer Contribution	2018-19 Estimated Total Employer Contribution	2019-20 Estimated Total Employer Contribution	2020-21 Estimated Total Employer Contribution	2021-22 Estimated Total Employer Contribution	2022-23 Estimated Total Employer Contribution	2023-24 Estimated Total Employer Contribution	2024-25 Estimated Total Employer Contribution
CITY OF FAIRFIELD	CITY		38.2493581	-122.0399663	SOLANO COUNTY	"56,26,18,558"	"39,29,06,375"	"16,97,12,183"	"1,45,84,054"	"1,69,73,935"	"1,96,28,261"	"2,20,41,311"	"2,42,21,080"	"2,62,46,492"	"2,77,23,777"	"2,90,28,171"
CITY OF DOWNEY	CITY		33.9401088	-118.1331593	LOS ANGELES COUNTY	"54,37,31,724"	"36,38,52,701"	"17,98,79,023"	"1,45,29,302"	"1,66,11,979"	"1,91,70,102"	"2,13,69,382"	"2,34,66,814"	"2,53,27,558"	"2,67,36,805"	"2,79,83,749"
CITY OF SAN LEANDRO	CITY		37.7249296	-122.1560768	ALAMEDA COUNTY	"54,27,70,823"	"37,14,54,965"	"17,13,15,858"	"1,31,25,221"	"1,51,87,039"	"1,76,12,692"	"1,96,43,864"	"2,17,67,388"	"2,36,19,147"	"2,49,54,900"	"2,61,32,607"
COUNTY OF NEVADA	COUNTY		39.1346666	-121.1710389	0	"53,29,27,717"	"33,99,11,280"	"19,30,16,437"	"1,85,49,401"	"2,07,97,151"	"2,32,83,924"	"2,56,30,897"	"2,68,89,966"	"2,88,19,904"	"3,01,83,744"	"3,15,05,426"
CITY OF REDONDO BEACH	CITY		33.8491816	-118.3884078	LOS ANGELES COUNTY	"52,47,78,018"	"35,06,15,162"	"17,41,62,856"	"1,33,18,545"	"1,56,37,601"	"1,81,10,600"	"2,03,15,685"	"2,23,83,895"	"2,42,41,022"	"2,55,62,243"	"2,67,35,740"
COUNTY OF MADERA	COUNTY		37.251926	-119.6962677	0	"51,91,78,322"	"32,66,61,928"	"19,25,16,394"	"1,87,20,253"	"2,13,07,012"	"2,40,51,470"	"2,69,31,094"	"2,92,77,087"	"3,13,41,559"	"3,29,39,796"	"3,39,99,090"
CITY OF MILPITAS	CITY		37.4323341	-121.8995741	SANTA CLARA COUNTY	"51,83,15,171"	"33,74,94,967"	"18,08,20,204"	"1,49,73,215"	"1,71,73,091"	"1,96,66,494"	"2,19,00,160"	"2,40,67,645"	"2,45,40,354"	"2,58,94,475"	"2,70,94,199"
CITY OF SALINAS	CITY		36.6777372	-121.6555013	MONTEREY COUNTY	"51,37,27,078"	"33,75,93,968"	"17,61,33,110"	"1,66,00,990"	"1,87,75,505"	"2,11,39,465"	"2,34,65,599"	"2,55,90,755"	"2,75,80,626"	"2,90,64,945"	"3,03,88,553"
CITY OF SOUTH SAN FRANCISCO	CITY		37.654656	-122.4077498	SAN MATEO COUNTY	"50,68,73,299"	"33,04,75,293"	"17,63,98,006"	"1,50,43,014"	"1,73,99,226"	"1,98,17,179"	"2,21,60,704"	"2,43,13,535"	"2,63,02,501"	"2,77,05,816"	"2,89,59,701"
CITY OF EL CAJON	CITY		32.7947731	-116.9625269	SAN DIEGO COUNTY	"50,36,94,217"	"31,82,59,405"	"18,54,34,812"	"1,51,24,179"	"1,68,07,389"	"1,90,91,720"	"2,11,32,133"	"2,30,65,957"	"2,48,05,996"	"2,61,24,406"	"2,55,21,348"
CITY OF VACAVILLE	CITY		38.3565773	-121.9877444	SOLANO COUNTY	"50,36,69,550"	"32,16,38,763"	"18,20,30,787"	"1,69,46,538"	"1,90,34,665"	"2,13,37,881"	"2,36,78,067"	"2,57,56,619"	"2,76,81,718"	"2,91,60,589"	"3,04,80,467"
CITY OF WEST COVINA	CITY		34.0686208	-117.9389526	LOS ANGELES COUNTY	"49,83,74,099"	"32,21,59,634"	"17,62,14,465"	"1,31,00,386"	"1,48,97,475"	"1,71,16,594"	"1,90,40,094"	"2,09,25,297"	"2,26,11,396"	"2,38,58,538"	"2,49,62,874"
COUNTY OF SUTTER	COUNTY		39.0219764	-121.6739371	0	"48,68,61,552"	"33,42,98,064"	"15,25,63,488"	"1,60,71,056"	"1,77,77,024"	"2,00,21,194"	"2,22,77,706"	"2,41,90,057"	"2,59,78,159"	"2,73,48,244"	"2,85,75,551"
HOUSING AUTHORITY OF THE CITY OF LOS ANGELES	SPECIAL DISTRICT/AUTHORITY		34.1970351	-118.4480009	0	"48,18,91,109"	"31,58,14,627"	"16,60,76,482"	"1,33,45,799"	"1,53,97,159"	"1,73,02,583"	"1,93,75,530"	"2,12,08,266"	"2,28,36,424"	"2,40,65,167"	"2,51,50,662"
CITY OF PALM SPRINGS	CITY		33.8302961	-116.5452921	RIVERSIDE COUNTY	"46,35,10,327"	"30,15,86,893"	"16,19,23,434"	"1,29,27,449"	"1,51,10,345"	"1,73,99,859"	"1,94,76,197"	"2,13,69,293"	"2,30,31,512"	"2,42,73,037"	"2,53,79,058"
CITY OF NAPA	CITY		38.2975381	-122.286865	NAPA COUNTY	"44,46,46,989"	"28,12,15,695"	"16,34,31,294"	"1,43,09,846"	"1,60,90,551"	"1,81,55,254"	"2,01,40,050"	"2,19,17,671"	"2,35,33,912"	"2,47,62,969"	"2,52,33,048"
CITY OF EL MONTE	CITY		34.0686206	-118.0275667	LOS ANGELES COUNTY	"44,45,60,663"	"30,96,02,707"	"13,49,57,956"	"1,34,83,470"	"1,53,34,251"	"1,73,15,653"	"1,90,14,638"	"1,65,48,067"	"1,79,59,399"	"1,90,35,781"	"1,99,74,364"
CITY OF CONCORD	CITY		37.9779776	-122.0310733	CONTRA COSTA COUNTY	"43,50,23,743"	"27,51,63,252"	"15,98,60,491"	"1,42,58,141"	"1,59,36,043"	"1,80,09,875"	"2,00,43,334"	"2,18,51,124"	"2,25,05,147"	"2,37,09,592"	"2,47,84,649"
CITY OF SIMI VALLEY	CITY		34.2694474	-118.781482	VENTURA COUNTY	"43,26,94,624"	"28,96,88,125"	"14,30,06,499"	"1,24,27,851"	"1,38,68,687"	"1,58,54,708"	"1,77,71,575"	"1,95,26,002"	"2,10,53,142"	"2,21,88,166"	"2,32,00,251"
COUNTY OF YUBA	COUNTY		39.2547027	-121.3998995	0	"42,34,46,527"	"28,01,89,255"	"14,32,57,272"	"1,19,51,175"	"1,35,85,785"	"1,56,66,826"	"1,76,87,267"	"1,94,22,165"	"2,09,69,880"	"2,21,30,586"	"2,31,58,463"
ALAMEDA COUNTY FIRE DEPARTMENT			37.7044036	-121.9196721	ALAMEDA COUNTY	"41,08,41,491"	"29,83,08,480"	"11,25,33,011"	"1,52,26,144"	"1,61,89,042"	"1,83,68,034"	"2,07,71,600"	"2,26,69,975"	"2,44,07,779"	"2,56,81,838"	"2,68,26,491"
CITY OF VISALIA	CITY		36.3302284	-119.2920585	TULARE COUNTY	"40,72,82,395"	"28,19,62,680"	"12,53,19,715"	"1,29,95,707"	"1,43,71,905"	"1,63,17,686"	"1,86,08,145"	"2,03,21,070"	"2,16,74,072"	"2,20,10,364"	"2,30,43,165"
CITY OF MONTEREY	CITY		36.6002378	-121.8946761	MONTEREY COUNTY	"40,54,15,190"	"26,51,91,353"	"14,02,23,837"	"1,33,76,258"	"1,49,42,512"	"1,69,14,062"	"1,88,74,563"	"2,05,24,962"	"2,20,06,108"	"2,31,49,285"	"2,41,72,884"
CITY OF MONTEBELLO	CITY		34.0165053	-118.1137535	LOS ANGELES COUNTY	"40,52,11,826"	"27,46,55,213"	"13,05,56,613"	"1,11,25,918"	"1,26,60,007"	"1,46,38,502"	"1,62,52,007"	"1,78,25,517"	"1,92,70,453"	"2,03,27,946"	"2,01,67,135"
CITY OF FONTANA	CITY		34.0922335	-117.435048	SAN BERNARDINO COUNTY	"40,47,83,900"	"26,47,80,145"	"14,00,03,755"	"1,41,89,244"	"1,58,63,993"	"1,79,22,886"	"2,01,67,911"	"2,19,76,379"	"2,35,44,180"	"2,48,40,536"	"2,47,90,672"
CITY OF ALHAMBRA	CITY		34.095287	-118.1270146	LOS ANGELES COUNTY	"40,22,20,292"	"28,08,60,489"	"12,13,59,803"	"1,18,98,100"	"1,30,35,300"	"1,46,88,914"	"1,62,38,278"	"1,76,45,376"	"1,90,06,697"	"2,00,73,398"	"2,10,15,640"
SANTA CLARA VALLEY TRANSPORTATION AUTHORITY	SPECIAL DISTRICT/AUTHORITY	TRANSPORTATION DISTRICT/AUTHORITY	0	0	0	"40,14,63,904"	"28,25,34,706"	"11,89,29,198"	"1,16,36,770"	"1,35,21,929"	"1,59,41,821"	"1,80,34,190"	"1,97,11,846"	"2,11,00,571"	"2,22,33,578"	"2,32,43,085"
GOLDEN GATE BRIDGE HIGHWAY AND TRANSPORTATION DISTRICT	SPECIAL DISTRICT/AUTHORITY	TRANSPORTATION DISTRICT/AUTHORITY	37.9557063	-122.5043767	0	"39,96,87,031"	"27,25,29,658"	"12,71,57,373"	"1,16,35,992"	"1,34,95,995"	"1,54,22,210"	"1,70,74,616"	"1,85,69,015"	"1,99,38,315"	"2,09,77,665"	"2,19,09,215"
CITY OF SANTA MARIA	CITY		34.9530337	-120.4357191	SANTA BARBARA COUNTY	"39,70,16,750"	"27,59,46,163"	"12,10,70,587"	"1,13,72,269"	"1,29,65,044"	"1,49,27,110"	"1,68,65,944"	"1,85,49,248"	"2,00,29,780"	"2,11,35,328"	"2,20,53,689"
EASTERN MUNICIPAL WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	33.7613369	-117.1847999	0	"39,67,10,151"	"26,85,68,968"	"12,81,41,183"	"1,11,39,085"	"1,28,45,092"	"1,48,04,895"	"1,66,29,145"	"1,82,56,879"	"1,97,29,916"	"2,08,29,413"	"2,18,03,536"
CITY OF COMPTON	CITY		33.8958492	-118.2200712	LOS ANGELES COUNTY	"39,39,64,322"	"25,85,04,769"	"13,54,59,553"	"99,57,596"	"1,16,17,600"	"1,34,33,563"	"1,48,95,032"	"1,63,58,306"	"1,76,59,972"	"1,85,65,532"	"1,93,46,191"
CITY OF LIVERMORE	CITY		37.6818745	-121.7680088	ALAMEDA COUNTY	"39,00,81,509"	"27,19,91,115"	"11,80,90,394"	"1,14,05,621"	"1,30,99,453"	"1,49,81,270"	"1,68,52,221"	"1,84,98,813"	"1,99,48,154"	"1,96,92,921"	"2,06,11,694"
CITY OF REDLANDS	CITY		34.0555693	-117.1825381	SAN BERNARDINO COUNTY	"38,91,53,557"	"27,45,69,244"	"11,45,84,313"	"1,04,80,576"	"1,22,14,251"	"1,41,77,513"	"1,59,80,154"	"1,75,84,303"	"1,90,17,345"	"2,00,61,308"	"2,09,87,376"
CITY OF RIALTO	CITY		34.1064001	-117.3703235	SAN BERNARDINO COUNTY	"37,93,99,500"	"25,30,39,826"	"12,63,59,674"	"1,22,44,283"	"1,35,25,574"	"1,51,53,871"	"1,67,38,173"	"1,82,43,848"	"1,96,34,914"	"2,07,25,531"	"2,16,90,867"
CITY OF HAWTHORNE	CITY		33.9164032	-118.3525748	LOS ANGELES COUNTY	"37,85,80,370"	"26,79,46,332"	"11,06,34,038"	"91,50,369"	"1,01,83,581"	"1,19,09,844"	"1,33,87,728"	"1,48,64,098"	"1,61,70,231"	"1,69,42,942"	"1,77,57,453"
CITY OF SAN LUIS OBISPO	CITY		35.2827524	-120.6596156	SAN LUIS OBISPO COUNTY	"37,61,16,379"	"22,77,29,773"	"14,83,86,606"	"1,27,16,398"	"1,40,61,916"	"1,57,74,427"	"1,74,24,715"	"1,89,41,495"	"2,03,37,483"	"2,13,95,835"	"2,23,46,111"
CITY OF VERNON	CITY		34.003903	-118.230073	LOS ANGELES COUNTY	"37,55,87,433"	"26,92,17,463"	"10,63,69,970"	"95,05,682"	"1,10,05,394"	"1,26,78,188"	"1,41,93,294"	"1,57,02,303"	"1,70,62,902"	"1,80,46,229"	"1,89,09,426"
CITY OF ARCADIA	CITY		34.1397292	-118.0353449	LOS ANGELES COUNTY	"37,39,12,543"	"23,16,61,122"	"14,22,51,421"	"1,15,50,254"	"1,31,04,425"	"1,48,94,460"	"1,65,99,714"	"1,81,29,566"	"1,94,79,243"	"2,05,28,890"	"2,14,64,657"
CITY OF CHICO	CITY		39.7284944	-121.8374777	BUTTE COUNTY	"37,23,22,432"	"24,30,76,722"	"12,92,45,710"	"1,13,45,388"	"1,27,84,588"	"1,44,12,300"	"1,59,85,572"	"1,73,86,949"	"1,87,29,648"	"1,97,49,827"	"2,06,54,652"
CITY OF EL SEGUNDO	CITY		33.9191799	-118.4164652	LOS ANGELES COUNTY	"36,82,63,190"	"23,39,57,642"	"13,43,05,548"	"28,39,842"	"1,24,92,067"	"1,40,56,876"	"1,55,01,234"	"1,69,22,969"	"1,82,40,209"	"1,92,33,778"	"2,01,16,124"
CITY OF WHITTIER	CITY		33.9791793	-118.032844	LOS ANGELES COUNTY	"36,62,92,834"	"24,38,09,526"	"12,24,83,308"	"99,40,877"	"1,15,03,274"	"1,32,44,766"	"1,48,55,776"	"1,62,54,039"	"1,75,34,901"	"1,84,94,498"	"1,93,46,972"
CITY OF CLOVIS	CITY		36.8252277	-119.7029194	FRESNO COUNTY	"36,59,21,233"	"23,91,52,632"	"12,67,68,601"	"1,19,31,203"	"1,38,43,601"	"1,58,49,355"	"1,78,86,053"	"1,95,66,445"	"2,04,55,418"	"2,15,44,170"	"2,25,17,906"
LOS ANGELES UNIFIED SCHOOL DISTRICT	SCHOOL DISTRICT		34.1825782	-118.4396756	0	"36,58,90,383"	"25,21,95,890"	"11,36,94,493"	"1,11,74,706"	"1,30,29,180"	"1,51,20,718"	"1,73,59,020"	"1,91,63,030"	"2,06,78,751"	"2,18,04,414"	"2,28,06,256"
CITY OF BREA	CITY		33.916475	-117.9002918	ORANGE COUNTY	"36,40,89,687"	"24,35,01,582"	"12,05,88,105"	"92,53,524"	"1,07,43,610"	"1,24,04,189"	"1,38,04,605"	"1,51,67,803"	"1,64,14,698"	"1,73,36,398"	"1,81,50,020"
COACHELLA VALLEY WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	33.6730106	-116.1647879	0	"36,32,89,149"	"22,62,35,665"	"13,70,53,484"	"1,11,62,637"	"1,28,25,923"	"1,46,13,465"	"1,62,84,219"	"1,78,43,355"	"1,92,67,516"	"2,02,98,822"	"2,12,17,396"
CITY OF FOLSOM	CITY		38.6779591	-121.1760583	SACRAMENTO COUNTY	"36,16,38,440"	"22,82,19,519"	"13,34,18,921"	"1,30,16,657"	"1,42,02,060"	"1,62,42,353"	"1,71,82,904"	"1,83,61,221"	"1,94,39,888"	"1,94,86,064"	"2,03,89,916"
EAST BAY REGIONAL PARK DISTRICT	SPECIAL DISTRICT/AUTHORITY	PARK OR RECREATION DISTRICT	37.71486	-122.0993356	ALAMEDA COUNTY	"35,89,21,231"	"24,64,70,203"	"11,24,51,028"	"1,27,85,651"	"1,44,49,263"	"1,62,61,897"	"1,81,84,831"	"1,97,80,414"	"2,12,25,509"	"2,23,10,595"	"2,32,88,959"
CITY OF LODI	CITY		38.1341477	-121.2722194	SAN JOAQUIN COUNTY	"35,69,95,376"	"22,61,64,278"	"13,08,31,098"	"1,00,82,534"	"1,16,16,801"	"1,33,41,878"	"1,49,02,096"	"1,63,96,638"	"1,77,23,338"	"1,86,82,318"	"1,95,34,707"
CITY OF WALNUT CREEK	CITY		37.9100783	-122.0651819	CONTRA COSTA COUNTY	"35,67,34,759"	"24,60,75,192"	"11,06,59,567"	"96,44,281"	"1,12,19,420"	"1,28,68,050"	"1,43,99,948"	"1,58,06,925"	"1,70,61,453"	"1,80,08,977"	"1,88,46,646"
CITY OF WESTMINSTER	CITY		33.7591757	-117.9897058	ORANGE COUNTY	"35,26,85,641"	"24,30,02,961"	"10,96,82,680"	"82,54,093"	"94,73,185"	"1,10,70,445"	"1,24,51,759"	"1,38,33,310"	"1,50,52,207"	"1,59,27,845"	"1,66,95,825"
COUNTY OF TUOLUMNE	COUNTY		38.029655	-119.9740534	0	"35,17,59,635"	"24,36,25,102"	"10,81,34,533"	"88,48,237"	"1,03,83,468"	"1,21,47,307"	"1,37,62,578"	"1,52,13,375"	"1,64,61,596"	"1,73,53,684"	"1,81,44,784"
STATE BAR OF CALIFORNIA			0	0	0	"34,73,33,893"	"27,72,40,403"	"7,00,93,490"	"63,42,200"	"81,07,383"	"99,18,029"	"1,17,86,953"	"1,33,38,402"	"1,45,97,624"	"1,54,69,793"	"1,62,31,087"
CITY OF BUENA PARK	CITY		33.8674044	-117.9981387	ORANGE COUNTY	"34,45,89,426"	"23,94,33,971"	"10,51,55,455"	"80,76,784"	"93,71,039"	"1,09,57,783"	"1,22,79,707"	"1,35,86,636"	"1,47,47,118"	"1,55,97,051"	"1,63,43,641"
CITY OF DAVIS	CITY		38.5449065	-121.7405167	YOLO COUNTY	"33,26,29,438"	"21,26,96,040"	"11,99,33,398"	"99,49,375"	"1,13,55,076"	"1,29,54,444"	"1,43,52,473"	"1,56,90,147"	"1,69,07,637"	"1,78,11,465"	"1,86,17,153"
CITY OF ANTIOCH	CITY		38.0049214	-121.805789	CONTRA COSTA COUNTY	"33,16,63,088"	"22,30,78,223"	"10,85,84,865"	"95,04,407"	"1,10,63,427"	"1,26,28,764"	"1,41,28,840"	"1,54,67,166"	"1,66,60,361"	"1,75,64,571"	"1,83,69,949"
CITY OF GARDENA	CITY		33.8883487	-118.3089624	LOS ANGELES COUNTY	"32,72,30,315"	"23,09,43,055"	"9,62,87,260"	"90,35,633"	"1,06,32,018"	"1,22,81,266"	"1,37,99,135"	"1,51,70,176"	"1,63,86,005"	"1,53,89,560"	"1,61,25,583"
COUNTY OF LAKE	COUNTY		39.0839644	-122.8084496	0	"31,84,10,465"	"22,97,85,778"	"8,86,24,687"	"79,74,946"	"95,88,861"	"1,12,93,982"	"1,29,27,340"	"1,43,38,080"	"1,56,02,122"	"1,64,64,626"	"1,72,27,755"
CITY OF UPLAND	CITY		34.09751	-117.6483876	SAN BERNARDINO COUNTY	"31,56,58,412"	"20,79,55,875"	"10,77,02,537"	"89,63,342"	"1,01,41,370"	"1,15,36,316"	"1,27,56,763"	"1,39,93,925"	"1,50,79,633"	"1,59,04,992"	"1,66,38,112"
CITY OF MONTEREY PARK	CITY		34.0625106	-118.1228476	LOS ANGELES COUNTY	"31,27,61,213"	"21,82,97,515"	"9,44,63,698"	"82,95,734"	"93,97,557"	"1,08,49,975"	"1,21,91,278"	"1,34,00,076"	"1,44,93,738"	"1,53,07,381"	"1,60,26,122"
CITY OF SANTA FE SPRINGS	CITY		33.9472359	-118.0853451	LOS ANGELES COUNTY	"31,07,58,894"	"19,46,18,529"	"11,61,40,365"	"87,33,783"	"98,78,031"	"1,12,61,850"	"1,24,24,910"	"1,35,70,393"	"1,45,98,554"	"1,53,91,476"	"1,60,96,244"
COUNTY OF SISKIYOU	COUNTY		41.7743261	-122.5770126	0	"30,81,73,709"	"21,83,38,388"	"8,98,35,321"	"79,37,271"	"89,63,928"	"1,03,78,520"	"1,16,67,229"	"1,28,31,596"	"1,38,79,843"	"1,46,38,089"	"1,53,11,451"
CITY OF COLTON	CITY		34.0739016	-117.3136547	SAN BERNARDINO COUNTY	"30,81,52,934"	"21,65,09,041"	"9,16,43,893"	"74,25,706"	"83,81,373"	"98,71,069"	"1,11,93,672"	"1,24,61,539"	"1,35,56,760"	"1,43,41,340"	"1,50,27,285"
SAN MATEO COUNTY TRANSIT DISTRICT	SPECIAL DISTRICT/AUTHORITY	TRANSPORTATION DISTRICT/AUTHORITY	0	0	SAN MATEO COUNTY	"30,63,90,721"	"24,02,19,224"	"6,61,71,497"	"64,87,028"	"79,47,144"	"95,01,237"	"1,09,76,258"	"1,22,26,896"	"1,33,38,503"	"1,41,09,228"	"1,47,87,225"
COUNTY OF TEHAMA	COUNTY		40.0982197	-122.174605	0	"30,57,67,303"	"21,10,11,267"	"9,47,56,036"	"87,36,390"	"99,88,658"	"1,15,03,390"	"1,29,06,867"	"1,41,27,423"	"1,52,21,706"	"1,60,41,857"	"1,67,73,023"
CITY OF UNION CITY	CITY		37.5933918	-122.0438298	ALAMEDA COUNTY	"30,38,67,802"	"22,53,65,050"	"7,85,02,752"	"70,05,468"	"84,16,109"	"98,44,224"	"1,11,88,122"	"1,24,36,407"	"1,35,63,917"	"1,43,52,573"	"1,50,46,201"
SAN DIEGO COUNTY OFFICE OF EDUCATION			0	0	SAN DIEGO COUNTY	"30,16,35,836"	"21,68,62,672"	"8,47,73,164"	"85,79,231"	"1,00,44,418"	"1,15,22,372"	"1,30,84,117"	"1,44,66,571"	"1,56,71,528"	"1,65,37,154"	"1,73,06,618"
CITY OF MANTECA	CITY		37.7974273	-121.2160526	SAN JOAQUIN COUNTY	"30,10,41,232"	"19,28,32,660"	"10,82,08,572"	"1,06,70,521"	"1,20,35,921"	"1,35,39,867"	"1,50,65,272"	"1,63,86,833"	"1,75,86,791"	"1,85,00,505"	"1,83,88,938"
CITY OF SOUTH GATE	CITY		33.954737	-118.2120161	LOS ANGELES COUNTY	"29,59,86,460"	"21,28,95,019"	"8,30,91,441"	"68,88,073"	"81,21,362"	"95,32,475"	"1,07,98,128"	"1,19,77,150"	"1,30,30,646"	"1,36,77,721"	"1,43,46,283"
CITY OF NATIONAL CITY	CITY		32.6781085	-117.0991967	SAN DIEGO COUNTY	"29,48,91,884"	"19,70,71,850"	"9,78,20,034"	"86,32,845"	"98,32,901"	"1,11,66,168"	"1,24,26,257"	"1,35,59,925"	"1,46,20,752"	"1,54,23,865"	"1,61,35,391"
CITY OF CHINO	CITY		34.0122346	-117.688944	SAN BERNARDINO COUNTY	"29,25,71,422"	"21,05,12,087"	"8,20,59,335"	"78,51,017"	"92,45,856"	"1,06,93,077"	"1,21,33,226"	"1,33,54,005"	"1,44,91,259"	"1,53,01,723"	"1,60,18,735"
CITY OF TRACY	CITY		37.7396513	-121.4252227	SAN JOAQUIN COUNTY	"29,17,45,710"	"21,38,04,700"	"7,79,41,010"	"90,93,004"	"1,03,38,720"	"1,18,02,722"	"1,32,72,977"	"1,45,26,526"	"1,56,89,912"	"1,65,62,309"	"1,71,66,899"
CITY OF PETALUMA	CITY		38.232417	-122.6366524	SONOMA COUNTY	"28,65,08,023"	"19,04,34,214"	"9,60,73,809"	"87,21,178"	"99,92,092"	"1,13,29,477"	"1,25,50,069"	"1,36,87,371"	"1,47,47,822"	"1,55,33,547"	"1,62,36,673"
CITY OF MONROVIA	CITY		34.1442616	-118.0019482	LOS ANGELES COUNTY	"28,63,93,704"	"18,94,60,253"	"9,69,33,451"	"82,18,107"	"92,19,020"	"1,05,69,693"	"1,17,62,929"	"1,28,91,212"	"1,39,14,495"	"1,46,82,584"	"1,53,63,093"
BAY AREA AIR QUALITY MANAGEMENT DISTRICT	SPECIAL DISTRICT/AUTHORITY		37.7880121	-122.3915205	ALAMEDA COUNTY	"28,35,94,027"	"20,64,79,102"	"7,71,14,925"	"63,37,759"	"75,90,799"	"89,18,574"	"1,00,96,774"	"1,11,88,647"	"1,21,50,576"	"1,28,40,654"	"1,34,48,973"
CITY OF MERCED	CITY		37.3021632	-120.4829677	MERCED COUNTY	"27,76,86,886"	"19,71,36,243"	"8,05,50,643"	"72,02,725"	"83,44,127"	"96,69,783"	"1,08,92,463"	"1,19,98,167"	"1,30,29,852"	"1,37,68,637"	"1,44,20,646"
CITY OF FOUNTAIN VALLEY	CITY		33.7090212	-117.9544069	ORANGE COUNTY	"27,55,27,530"	"19,63,12,820"	"7,92,14,710"	"67,67,683"	"79,44,072"	"92,39,082"	"1,04,46,259"	"1,15,46,886"	"1,25,31,590"	"1,32,49,580"	"1,38,81,569"
CITY OF SAN BRUNO	CITY		37.6304904	-122.4110835	SAN MATEO COUNTY	"27,49,06,308"	"18,87,83,580"	"8,61,22,728"	"74,04,333"	"85,58,699"	"99,05,795"	"1,11,68,075"	"1,23,05,948"	"1,33,01,152"	"1,40,40,800"	"1,46,95,312"
CITY OF THOUSAND OAKS	CITY		34.1705609	-118.8375937	VENTURA COUNTY	"27,19,44,971"	"19,85,13,056"	"7,34,31,915"	"64,80,237"	"73,16,913"	"83,66,859"	"93,66,727"	"1,03,04,579"	"1,11,44,276"	"1,17,82,905"	"1,23,43,552"
CITY OF MANHATTAN BEACH	CITY		33.8847361	-118.4109089	LOS ANGELES COUNTY	"27,18,83,422"	"19,99,68,657"	"7,19,14,765"	"72,39,153"	"86,53,596"	"1,00,02,871"	"1,13,38,560"	"1,24,68,433"	"1,34,68,383"	"1,42,20,160"	"1,48,86,126"
CITY OF NEWARK	CITY		37.5296593	-122.0402399	ALAMEDA COUNTY	"27,15,07,769"	"17,34,79,779"	"9,80,27,990"	"75,60,323"	"92,50,205"	"99,35,214"	"1,08,84,606"	"1,17,95,655"	"1,27,49,331"	"1,34,54,618"	"1,40,78,600"
CITY OF HEMET	CITY		33.7475203	-116.9719684	RIVERSIDE COUNTY	"26,83,93,965"	"17,38,80,297"	"9,45,13,668"	"87,62,487"	"1,03,64,714"	"1,08,36,601"	"1,16,00,331"	"1,22,67,271"	"1,29,63,569"	"1,36,91,326"	"1,43,33,646"
CITY OF CARSON	CITY		33.8316745	-118.281693	LOS ANGELES COUNTY	"26,62,04,583"	"16,78,14,257"	"9,83,90,326"	"79,26,948"	"88,46,283"	"1,01,40,199"	"1,14,59,040"	"1,25,67,741"	"1,35,43,584"	"1,42,62,661"	"1,49,04,071"
CITY OF LA MESA	CITY		32.7678287	-117.0230839	SAN DIEGO COUNTY	"26,40,43,134"	"17,72,74,793"	"8,67,68,341"	"75,52,451"	"85,67,135"	"98,29,306"	"1,09,59,116"	"1,20,02,160"	"1,29,32,325"	"1,36,25,705"	"1,42,42,396"
CITY OF LOMPOC	CITY		34.6391501	-120.4579409	SANTA BARBARA COUNTY	"26,13,82,603"	"18,01,52,526"	"8,12,30,077"	"70,07,151"	"80,36,208"	"92,32,653"	"1,03,47,798"	"1,13,79,663"	"1,23,06,444"	"1,29,88,943"	"1,35,92,866"
CITY OF WATSONVILLE	CITY		36.910231	-121.7568946	SANTA CRUZ COUNTY	"26,11,07,747"	"18,55,75,568"	"7,55,32,179"	"68,90,501"	"79,76,179"	"92,90,281"	"1,05,15,060"	"1,16,02,616"	"1,25,80,351"	"1,32,88,879"	"1,39,14,222"
CITY OF WEST SACRAMENTO	CITY		38.5804609	-121.530234	YOLO COUNTY	"25,72,42,749"	"17,97,60,016"	"7,74,82,733"	"77,51,105"	"87,13,650"	"1,00,36,373"	"1,13,12,496"	"1,23,97,820"	"1,33,25,680"	"1,40,56,014"	"1,47,03,860"
CITY OF WOODLAND	CITY		38.6785157	-121.7732971	YOLO COUNTY	"25,01,77,170"	"15,85,97,581"	"9,15,79,589"	"81,68,665"	"91,01,406"	"1,02,48,902"	"1,13,14,820"	"1,22,85,974"	"1,31,76,614"	"1,38,82,842"	"1,45,11,767"
CITY OF LA HABRA	CITY		33.9318591	-117.946137	ORANGE COUNTY	"25,01,05,435"	"17,40,47,842"	"7,60,57,593"	"61,57,657"	"71,93,951"	"83,74,024"	"94,72,390"	"1,04,89,750"	"1,13,93,544"	"1,20,51,058"	"1,26,29,584"
CITY OF AZUSA	CITY		34.1336186	-117.9075627	LOS ANGELES COUNTY	"25,00,87,757"	"18,06,33,453"	"6,94,54,304"	"62,87,693"	"72,44,005"	"84,55,144"	"95,57,971"	"1,05,85,371"	"1,15,01,124"	"1,21,57,734"	"1,27,37,707"
