Agency	General Type	Granular Type	Latitude	Longitude	County	"June 30, 2016 Accrued Liability (AL)"	"June 30, 2016 Market Value of Assets (MVA)"	"June 30, 2016 Unfunded Accrued Liability (UAL)"	2017-18 Estimated Total Employer Contribution	2018-19 Estimated Total Employer Contribution	2019-20 Estimated Total Employer Contribution	2020-21 Estimated Total Employer Contribution	2021-22 Estimated Total Employer Contribution	2022-23 Estimated Total Employer Contribution	2023-24 Estimated Total Employer Contribution	2024-25 Estimated Total Employer Contribution
CITY OF PASADENA	CITY		34.1477849	-118.1445155	LOS ANGELES COUNTY	"1,58,80,78,974"	"1,11,77,55,215"	"47,03,23,759"	"4,47,82,162"	"5,09,02,852"	"5,79,72,951"	"6,46,50,960"	"7,08,24,859"	"7,61,22,675"	"8,03,62,005"	"7,96,20,465"
CITY OF BERKELEY	CITY		37.8715926	-122.272747	ALAMEDA COUNTY	"1,55,10,48,485"	"1,04,16,49,867"	"50,93,98,618"	"4,55,54,458"	"5,12,71,802"	"5,80,34,256"	"6,44,21,795"	"7,02,89,919"	"7,56,79,706"	"7,97,54,807"	"8,33,84,892"
COUNTY OF SANTA CRUZ	COUNTY		37.0453988	-121.9579578	0	"1,51,65,33,914"	"1,02,51,07,952"	"49,14,25,962"	"4,15,66,126"	"4,82,85,467"	"5,56,38,633"	"6,29,24,242"	"6,93,76,249"	"7,51,37,767"	"7,92,14,440"	"8,28,41,933"
CITY OF TORRANCE	CITY		33.8358492	-118.3406288	LOS ANGELES COUNTY	"1,43,41,54,604"	"97,35,70,755"	"46,05,83,849"	"3,93,09,355"	"4,45,30,894"	"5,07,90,622"	"5,66,20,379"	"6,21,11,240"	"6,70,70,367"	"7,07,63,308"	"7,40,37,628"
CITY OF SANTA CLARA	CITY		37.3541079	-121.9552356	SANTA CLARA COUNTY	"1,34,64,76,297"	"84,18,54,220"	"50,46,22,077"	"4,19,21,908"	"4,78,00,009"	"5,41,70,151"	"5,99,61,990"	"6,52,65,540"	"7,01,52,536"	"7,38,13,502"	"7,70,91,977"
CITY OF BURBANK	CITY		34.1808392	-118.3089661	LOS ANGELES COUNTY	"1,33,24,12,066"	"96,69,66,540"	"36,54,45,526"	"3,27,61,904"	"3,73,25,085"	"4,32,01,933"	"4,86,07,942"	"5,35,90,691"	"5,81,15,031"	"6,14,42,432"	"6,43,69,375"
CITY OF SAN BERNARDINO	CITY		34.1083449	-117.2897652	SAN BERNARDINO COUNTY	"1,26,93,57,683"	"86,68,56,215"	"40,25,01,468"	"3,16,27,743"	"3,55,24,377"	"4,11,63,362"	"4,61,01,164"	"5,08,89,249"	"5,51,58,696"	"5,82,94,877"	"6,10,55,173"
CITY AND COUNTY OF SAN FRANCISCO	CITY		37.7749295	-122.4194155	0	"1,23,50,43,254"	"95,52,14,402"	"27,98,28,852"	"3,48,72,853"	"3,93,91,457"	"4,58,78,965"	"5,22,25,433"	"5,74,33,336"	"6,20,30,946"	"6,54,64,035"	"6,85,09,396"
CITY OF BAKERSFIELD	CITY		35.3732921	-119.0187125	KERN COUNTY	"1,23,17,71,918"	"81,26,54,746"	"41,91,17,172"	"3,59,33,300"	"4,08,71,293"	"4,71,37,270"	"5,29,05,405"	"5,78,83,577"	"6,23,36,095"	"6,57,64,478"	"6,88,07,262"
CITY OF HUNTINGTON BEACH	CITY		33.6594835	-117.9988026	ORANGE COUNTY	"1,20,42,18,344"	"79,50,34,994"	"40,91,83,350"	"3,53,92,171"	"3,96,58,999"	"4,50,66,693"	"5,00,17,382"	"5,46,44,174"	"5,87,54,019"	"6,19,32,370"	"6,47,58,691"
CITY OF SANTA ROSA	CITY		38.440429	-122.7140548	SONOMA COUNTY	"1,12,69,94,018"	"78,89,72,489"	"33,80,21,529"	"3,01,11,078"	"3,47,73,802"	"4,01,89,647"	"4,54,83,116"	"5,02,17,170"	"5,43,92,725"	"5,73,63,276"	"5,99,98,335"
CITY OF PALO ALTO	CITY		37.4418834	-122.1430195	SANTA CLARA COUNTY	"1,12,32,94,250"	"71,85,88,826"	"40,47,05,424"	"3,51,20,338"	"3,97,33,620"	"4,51,71,217"	"5,01,82,103"	"5,46,50,676"	"5,86,89,307"	"6,17,40,416"	"6,44,75,438"
