Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
CITY OF CALIPATRIA,CITY,,33.1255957,-115.5141538,IMPERIAL COUNTY,"44,17,597","35,98,721","8,18,876","1,50,700","80,004","95,010","1,12,793","1,28,055","1,42,767","1,51,530","1,60,346",,"95,010","1,08,263","1,02,400","1,06,622",,"95,010","1,19,393","1,45,595","1,79,277"
CITY OF CALISTOGA,CITY,,38.5787965,-122.5797054,NAPA COUNTY,"3,21,65,183","2,03,03,686","1,18,61,497","11,53,563","11,20,439","12,61,085","14,09,647","15,38,590","16,55,321","17,39,873","18,21,113",,"12,61,085","13,76,447","14,61,484","14,99,050",,"12,61,085","14,42,080","16,37,979","18,56,571"
CITY OF CAMARILLO,CITY,,34.2163937,-119.0376023,VENTURA COUNTY,"10,37,00,121","7,18,54,739","3,18,45,382","28,75,276","31,73,667","35,77,726","39,60,825","43,42,470","47,01,334","49,65,454","51,97,868",,"35,77,726","38,49,825","40,74,762","41,56,396",,"35,77,726","40,77,825","46,92,470","54,03,334"
CITY OF CAMPBELL,CITY,,37.2871651,-121.9499568,SANTA CLARA COUNTY,"18,28,64,443","12,70,14,425","5,58,50,018","57,09,056","65,88,890","75,07,249","83,67,375","80,23,546","86,96,483","91,75,267","96,05,685",,"75,07,249","81,71,775","75,76,383","77,80,068",,"75,07,249","85,74,475","86,39,246","99,29,483"
CITY OF CANYON LAKE,CITY,,33.6850215,-117.2730931,RIVERSIDE COUNTY,"15,43,757","11,75,205","3,68,552","26,727","49,996","57,477","65,096","71,234","77,503","80,384","84,628",,"57,477","62,996","67,839","67,632",,"57,477","67,096","77,434","88,803"
CITY OF CAPITOLA,CITY,,36.9752283,-121.953293,SANTA CRUZ COUNTY,"7,31,40,617","5,16,57,880","2,14,82,737","18,05,795","21,20,199","24,50,738","27,65,941","30,60,878","33,20,860","35,05,444","36,72,908",,"24,50,738","26,85,711","28,62,803","29,10,061",,"24,50,738","28,51,271","33,13,778","38,30,560"
CITY OF CARLSBAD,CITY,,33.1580933,-117.3505939,SAN DIEGO COUNTY,"61,08,20,871","42,54,88,805","18,53,32,066","1,97,06,281","2,05,04,044","2,34,70,566","2,58,82,286","2,82,16,395","3,02,89,107","3,20,06,710","3,04,56,501",,"2,34,70,566","2,52,04,286","2,67,24,387","2,72,17,128",,"2,34,70,566","2,65,96,286","3,03,55,395","3,45,89,107"
CITY OF CARMEL-BY-THE-SEA,CITY,,36.5552386,-121.9232879,MONTEREY COUNTY,"6,94,62,583","5,02,69,083","1,91,93,500","14,55,629","18,13,505","21,30,658","24,19,603","26,95,387","29,39,875","31,14,390","32,65,858",,"21,30,658","23,40,903","24,93,805","25,28,001",,"21,30,658","25,02,233","29,42,387","34,36,575"
CITY OF CARPINTERIA,CITY,,34.3988838,-119.5184564,SANTA BARBARA COUNTY,"2,65,74,842","1,92,54,517","73,20,325","6,37,627","7,01,210","8,28,822","9,33,568","10,37,688","11,25,097","11,83,703","12,32,515",,"8,28,822","8,99,368","9,49,382","9,47,599",,"8,28,822","9,70,668","11,44,088","13,37,897"
CITY OF CARSON,CITY,,33.8316745,-118.281693,LOS ANGELES COUNTY,"26,62,04,583","16,78,14,257","9,83,90,326","79,26,948","88,46,283","1,01,40,199","1,14,59,040","1,25,67,741","1,35,43,584","1,42,62,661","1,49,04,071",,"1,01,40,199","1,12,00,040","1,19,31,413","1,22,24,480",,"1,01,40,199","1,17,32,040","1,33,83,741","1,51,83,584"
CITY OF CATHEDRAL CITY,CITY,,33.7805388,-116.4668036,RIVERSIDE COUNTY,"15,59,22,593","12,00,64,102","3,58,58,491","35,20,708","42,58,530","49,77,789","57,32,337","63,76,956","69,46,595","73,20,791","76,75,917",,"49,77,789","55,46,837","59,51,395","60,69,028",,"49,77,789","59,29,937","69,63,156","81,21,095"
CITY OF CERRITOS,CITY,,33.8583483,-118.0647871,LOS ANGELES COUNTY,"21,21,15,748","14,65,54,945","6,55,60,803","53,66,688","58,67,354","67,36,440","75,69,736","83,49,028","90,52,309","95,91,638","99,77,077",,"67,36,440","73,42,736","77,78,996","79,18,872",,"67,36,440","78,07,736","90,63,028","1,04,84,309"
CITY OF CHICO,CITY,,39.7284944,-121.8374777,BUTTE COUNTY,"37,23,22,432","24,30,76,722","12,92,45,710","1,13,45,388","1,27,84,588","1,44,12,300","1,59,85,572","1,73,86,949","1,87,29,648","1,97,49,827","2,06,54,652",,"1,44,12,300","1,56,10,572","1,65,09,737","1,69,78,112",,"1,44,12,300","1,63,79,572","1,85,66,949","2,10,95,648"
CITY OF CHINO,CITY,,34.0122346,-117.688944,SAN BERNARDINO COUNTY,"29,25,71,422","21,05,12,087","8,20,59,335","78,51,017","92,45,856","1,06,93,077","1,21,33,226","1,33,54,005","1,44,91,259","1,53,01,723","1,60,18,735",,"1,06,93,077","1,18,03,426","1,26,42,389","1,30,17,694",,"1,06,93,077","1,24,78,026","1,43,91,505","1,65,74,459"
CITY OF CHOWCHILLA,CITY,,37.1229997,-120.2601754,MADERA COUNTY,"3,18,79,977","2,15,66,100","1,03,13,877","10,81,368","11,39,334","12,84,118","14,29,316","15,63,033","16,83,197","17,73,921","18,54,721",,"12,84,118","13,94,616","14,81,485","15,15,927",,"12,84,118","14,65,516","16,71,033","18,98,297"
CITY OF CHULA VISTA,CITY,,32.6400541,-117.0841955,SAN DIEGO COUNTY,"96,04,50,278","63,88,50,879","32,15,99,399","2,86,90,990","3,25,46,538","3,72,82,179","4,18,86,322","4,58,40,901","4,94,27,258","5,21,37,836","5,45,42,091",,"3,72,82,179","4,08,91,322","4,36,54,354","4,50,02,145",,"3,72,82,179","4,29,31,322","4,89,75,901","5,57,27,258"
CITY OF CITRUS HEIGHTS,CITY,,38.7071247,-121.2810611,SACRAMENTO COUNTY,"6,58,71,975","5,19,31,351","1,39,40,624","29,07,423","33,56,430","37,72,756","43,04,661","46,43,008","49,54,417","51,96,271","54,15,060",,"37,72,756","42,24,761","45,72,944","47,99,191",,"37,72,756","43,90,261","48,98,208","54,67,917"
CITY OF CLAREMONT,CITY,,34.0966764,-117.7197785,LOS ANGELES COUNTY,"15,75,07,252","10,67,02,489","5,08,04,763","42,60,799","48,89,357","56,06,813","62,55,380","68,69,324","74,23,071","78,37,671","78,72,577",,"56,06,813","60,92,980","64,63,956","65,95,171",,"56,06,813","64,28,880","73,84,624","84,51,671"
CITY OF CLAYTON,CITY,,37.9410341,-121.9357925,CONTRA COSTA COUNTY,"1,73,92,361","1,26,59,521","47,32,840","6,56,066","5,23,956","6,02,534","5,97,498","6,67,379","7,25,296","7,65,837","8,04,589",,"6,02,534","5,77,998","6,16,482","6,26,019",,"6,02,534","6,18,198","7,29,179","8,51,296"
CITY OF CLEARLAKE,CITY,,38.9582307,-122.6263728,LAKE COUNTY,"2,32,12,774","1,62,12,514","70,00,260","8,94,801","9,92,006","11,10,116","9,18,355","10,13,261","10,97,560","11,60,864","12,16,285",,"11,10,116","8,92,055","9,55,979","9,83,663",,"11,10,116","9,44,855","10,92,461","12,56,960"
CITY OF CLOVERDALE,CITY,,38.8054624,-123.0172227,SONOMA COUNTY,"3,17,54,955","2,24,51,020","93,03,935","9,19,113","10,92,621","12,44,851","13,95,792","15,30,851","15,18,382","16,04,001","16,78,921",,"12,44,851","13,60,642","14,46,683","13,52,159",,"12,44,851","14,31,992","16,40,551","17,39,682"
CITY OF CLOVIS,CITY,,36.8252277,-119.7029194,FRESNO COUNTY,"36,59,21,233","23,91,52,632","12,67,68,601","1,19,31,203","1,38,43,601","1,58,49,355","1,78,86,053","1,95,66,445","2,04,55,418","2,15,44,170","2,25,17,906",,"1,58,49,355","1,75,06,053","1,87,65,817","1,88,65,969",,"1,58,49,355","1,82,85,053","2,07,70,445","2,28,82,418"
CITY OF COACHELLA CITY,CITY,,33.6803003,-116.173894,RIVERSIDE COUNTY,"5,39,69,496","3,85,62,775","1,54,06,721","15,34,711","17,78,900","20,33,310","22,79,337","24,21,711","26,11,067","27,33,329","28,46,721",,"20,33,310","22,12,937","22,61,461","22,78,814",,"20,33,310","23,49,737","26,32,011","30,30,467"
CITY OF COALINGA,CITY,,36.139678,-120.3601496,FRESNO COUNTY,"97,31,788","91,21,894","6,09,894","4,99,755","5,49,439","5,94,874","6,77,667","7,21,430","7,65,950","8,04,443","8,39,028",,"5,94,874","6,63,167","6,74,960","7,30,754",,"5,94,874","6,93,067","7,65,830","8,54,550"
CITY OF COLFAX,CITY,,39.1007298,-120.9532759,PLACER COUNTY,"5,67,796","4,70,458","97,338","25,584","40,870","45,282","51,631","55,028","58,463","60,247","62,733",,"45,282","50,911","55,370","50,820",,"45,282","52,461","57,108","63,593"
CITY OF COLTON,CITY,,34.0739016,-117.3136547,SAN BERNARDINO COUNTY,"30,81,52,934","21,65,09,041","9,16,43,893","74,25,706","83,81,373","98,71,069","1,11,93,672","1,24,61,539","1,35,56,760","1,43,41,340","1,50,27,285",,"98,71,069","1,08,61,772","1,16,25,854","1,18,62,843",,"98,71,069","1,15,43,572","1,35,03,139","1,56,42,360"
CITY OF COLUSA,CITY,,39.2143343,-122.0094175,COLUSA COUNTY,"2,11,23,023","1,47,26,316","63,96,707","5,16,351","6,22,947","7,19,409","8,06,629","8,92,841","9,69,505","10,24,960","10,73,453",,"7,19,409","7,85,409","8,32,916","8,46,516",,"7,19,409","8,31,849","9,65,651","11,14,845"
CITY OF COMMERCE,CITY,,34.0005691,-118.1597929,LOS ANGELES COUNTY,"10,21,09,272","7,30,53,113","2,90,56,159","22,63,928","27,28,820","32,14,374","36,79,887","40,97,063","44,56,505","47,12,250","49,37,338",,"32,14,374","35,68,887","38,36,796","39,29,655",,"32,14,374","37,96,887","44,45,063","51,51,505"
CITY OF COMPTON,CITY,,33.8958492,-118.2200712,LOS ANGELES COUNTY,"39,39,64,322","25,85,04,769","13,54,59,553","99,57,596","1,16,17,600","1,34,33,563","1,48,95,032","1,63,58,306","1,76,59,972","1,85,65,532","1,93,46,191",,"1,34,33,563","1,44,65,632","1,52,21,122","1,53,51,643",,"1,34,33,563","1,53,46,432","1,76,97,606","2,03,21,672"
CITY OF CONCORD,CITY,,37.9779776,-122.0310733,CONTRA COSTA COUNTY,"43,50,23,743","27,51,63,252","15,98,60,491","1,42,58,141","1,59,36,043","1,80,09,875","2,00,43,334","2,18,51,124","2,25,05,147","2,37,09,592","2,47,84,649",,"1,80,09,875","1,96,16,334","2,08,36,819","2,04,45,628",,"1,80,09,875","2,04,92,334","2,31,96,124","2,52,07,147"
CITY OF CORCORAN,CITY,,36.098007,-119.5604015,KINGS COUNTY,"2,91,18,635","2,12,44,283","78,74,352","8,67,177","9,96,027","11,38,151","12,80,839","14,06,678","15,15,068","13,76,714","14,43,841",,"11,38,151","12,47,739","13,28,496","13,60,908",,"11,38,151","13,16,039","15,10,278","17,25,198"
CITY OF CORNING,CITY,,39.9276572,-122.1791556,TEHAMA COUNTY,"2,33,09,857","1,70,92,854","62,17,003","6,08,042","6,92,948","8,05,557","9,17,224","10,12,789","10,98,331","11,58,551","12,13,190",,"8,05,557","8,89,324","9,51,979","9,72,593",,"8,05,557","9,44,207","10,96,209","12,67,151"
CITY OF CORONA,CITY,,33.8752935,-117.5664384,RIVERSIDE COUNTY,"69,94,13,557","44,58,90,563","25,35,22,994","2,38,43,804","2,65,16,615","2,98,01,784","3,30,81,582","3,59,84,942","3,86,56,050","4,07,25,900","4,08,28,792",,"2,98,01,784","3,23,84,482","3,43,94,730","3,54,53,614",,"2,98,01,784","3,38,13,782","3,81,84,442","4,30,79,150"
CITY OF CORONADO,CITY,,32.6858853,-117.1830891,SAN DIEGO COUNTY,"19,35,57,438","14,69,37,297","4,66,20,141","51,02,665","56,39,711","64,96,715","74,37,335","82,24,224","89,22,212","94,32,281","98,81,330",,"64,96,715","72,09,235","77,20,978","79,00,279",,"64,96,715","76,76,436","89,40,627","1,03,60,912"
CITY OF COSTA MESA,CITY,,33.6412156,-117.9188221,ORANGE COUNTY,"72,61,77,316","43,67,36,548","28,94,40,768","2,31,61,482","2,58,20,094","2,92,37,319","3,23,39,396","3,52,67,451","3,79,11,528","3,99,27,416","4,17,26,477",,"2,92,37,319","3,16,76,066","3,35,87,869","3,45,59,898",,"2,92,37,319","3,30,36,736","3,73,48,461","4,20,70,458"
CITY OF COTATI,CITY,,38.3293416,-122.7096666,SONOMA COUNTY,"2,89,93,444","1,89,15,788","1,00,77,656","12,20,542","13,34,281","11,57,061","12,88,525","14,08,453","15,16,677","15,98,311","16,71,765",,"11,57,061","12,59,625","13,35,195","13,65,122",,"11,57,061","13,20,625","15,01,453","17,02,777"
CITY OF COVINA,CITY,,34.0900091,-117.8903397,LOS ANGELES COUNTY,"19,32,91,191","13,73,02,970","5,59,88,221","44,85,865","49,06,374","57,77,700","72,92,491","80,28,616","86,72,998","91,68,004","96,04,204",,"57,77,700","70,84,191","75,14,625","76,21,173",,"57,77,700","75,11,891","86,83,516","99,80,198"
CITY OF CRESCENT CITY,CITY,,41.7557501,-124.2025913,DEL NORTE COUNTY,"3,25,90,348","2,27,04,120","98,86,228","9,75,956","9,16,385","10,61,036","11,29,520","12,57,205","13,69,352","14,51,202","15,22,204",,"10,61,036","10,93,170","11,62,256","11,80,173",,"10,61,036","11,66,880","13,69,345","15,94,552"
CITY OF CUDAHY,CITY,,33.9605701,-118.1853486,LOS ANGELES COUNTY,"1,06,07,350","72,33,884","33,73,466","3,41,388","3,72,591","3,36,269","3,78,358","4,18,643","4,55,940","4,82,950","5,05,677",,"3,36,269","3,66,758","3,89,076","3,92,111",,"3,36,269","3,89,858","4,55,243","5,28,140"
CITY OF CULVER CITY,CITY,,34.0211224,-118.3964665,LOS ANGELES COUNTY,"62,78,68,882","40,13,66,359","22,65,02,523","1,81,01,497","2,07,93,203","2,38,68,872","2,65,37,410","2,90,95,413","3,13,47,275","3,30,45,233","3,45,54,530",,"2,38,68,872","2,59,21,410","2,76,55,933","2,84,47,446",,"2,38,68,872","2,71,84,410","3,10,31,413","3,52,23,275"
CITY OF CUPERTINO,CITY,,37.3229978,-122.0321823,SANTA CLARA COUNTY,"11,84,89,119","7,79,19,876","4,05,69,243","39,80,364","44,47,555","50,07,370","56,20,086","61,26,168","65,80,083","69,22,886","72,31,632",,"50,07,370","54,96,086","58,50,722","60,19,783",,"50,07,370","57,49,086","65,15,168","73,64,083"
CITY OF CYPRESS,CITY,,33.8169366,-118.0368507,ORANGE COUNTY,"16,07,44,391","11,69,43,810","4,38,00,581","38,01,508","45,46,742","53,18,502","60,10,956","66,58,894","72,27,501","76,41,144","80,05,890",,"53,18,502","58,29,756","62,42,274","63,71,421",,"53,18,502","61,99,256","72,25,494","83,59,901"
CITY OF DALY CITY,CITY,,37.6879241,-122.4702079,SAN MATEO COUNTY,"59,35,18,159","43,48,28,641","15,86,89,518","1,34,64,152","1,59,61,270","1,88,35,591","2,13,99,693","2,36,97,653","2,58,16,903","2,72,85,660","2,85,79,150",,"1,88,35,591","2,07,38,693","2,21,19,927","2,25,87,988",,"1,88,35,591","2,20,94,693","2,57,66,653","2,99,51,903"
CITY OF DANA POINT,CITY,,33.4672256,-117.6981014,ORANGE COUNTY,"2,31,93,090","1,80,92,449","51,00,641","6,91,898","8,05,846","9,28,938","10,67,081","11,70,587","12,64,787","13,33,598","13,94,840",,"9,28,938","10,38,781","11,17,910","11,60,772",,"9,28,938","10,97,381","12,60,587","14,45,687"
CITY OF DAVIS,CITY,,38.5449065,-121.7405167,YOLO COUNTY,"33,26,29,438","21,26,96,040","11,99,33,398","99,49,375","1,13,55,076","1,29,54,444","1,43,52,473","1,56,90,147","1,69,07,637","1,78,11,465","1,86,17,153",,"1,29,54,444","1,40,25,873","1,48,88,142","1,52,79,952",,"1,29,54,444","1,46,95,873","1,67,16,647","1,89,61,537"
CITY OF DEL MAR,CITY,,32.9594891,-117.2653146,SAN DIEGO COUNTY,"4,30,61,758","3,15,47,017","1,15,14,741","10,85,581","12,66,733","14,68,991","16,85,692","18,61,908","20,19,852","21,34,966","22,35,581",,"14,68,991","16,36,182","17,46,743","17,86,842",,"14,68,991","17,37,112","20,17,034","23,31,045"
CITY OF DEL REY OAKS,CITY,,36.5932934,-121.8349515,MONTEREY COUNTY,"58,22,560","43,17,513","15,05,047","2,14,007","2,40,057","2,68,291","2,24,224","2,47,645","2,68,468","2,85,297","2,99,235",,"2,68,291","2,17,714","2,33,695","2,38,625",,"2,68,291","2,31,924","2,69,335","3,12,238"
CITY OF DELANO,CITY,,35.7688425,-119.2470536,KERN COUNTY,"1,83,70,041","1,26,82,116","56,87,925","12,74,450","13,92,409","15,15,865","11,05,263","11,94,725","12,72,889","13,37,175","13,95,504",,"15,15,865","10,85,763","11,76,304","12,36,524",,"15,15,865","11,25,763","12,56,125","13,96,189"
CITY OF DESERT HOT SPRINGS,CITY,,33.961124,-116.5016784,RIVERSIDE COUNTY,"3,58,42,018","2,46,08,994","1,12,33,024","11,32,547","13,16,491","14,80,195","16,45,976","17,98,498","19,34,764","19,10,780","19,99,832",,"14,80,195","16,07,876","17,04,599","17,35,687",,"14,80,195","16,86,176","19,17,898","21,75,164"
CITY OF DIAMOND BAR,CITY,,34.0286226,-117.8103367,LOS ANGELES COUNTY,"2,31,63,289","1,77,89,630","53,73,659","6,13,210","6,96,927","8,11,086","9,36,015","10,34,326","11,23,193","11,84,589","12,40,320",,"8,11,086","9,07,915","9,76,612","10,08,809",,"8,11,086","9,65,015","11,23,526","13,00,593"
CITY OF DINUBA,CITY,,36.5432837,-119.3870656,TULARE COUNTY,"6,25,81,921","4,40,47,234","1,85,34,687","22,73,237","26,29,895","29,61,095","33,24,864","36,09,625","38,66,167","40,65,334","42,43,572",,"29,61,095","32,56,164","34,76,290","35,97,789",,"29,61,095","33,96,664","38,26,225","43,00,367"
CITY OF DIXON,CITY,,38.4454641,-121.8232958,SOLANO COUNTY,"6,64,81,265","4,60,92,034","2,03,89,231","23,63,375","26,46,334","29,79,823","33,15,804","36,05,832","32,18,219","33,98,900","35,58,210",,"29,79,823","32,44,274","34,45,363","28,99,825",,"29,79,823","33,91,504","38,32,732","36,72,119"
CITY OF DOS PALOS,CITY,,36.9860582,-120.6265722,MERCED COUNTY,"1,13,90,537","85,35,120","28,55,417","3,08,612","3,46,348","3,94,623","4,48,202","4,96,138","5,38,318","5,69,425","5,95,737",,"3,94,623","4,35,082","4,66,282","4,77,848",,"3,94,623","4,63,342","5,38,498","6,23,018"
CITY OF DOWNEY,CITY,,33.9401088,-118.1331593,LOS ANGELES COUNTY,"54,37,31,724","36,38,52,701","17,98,79,023","1,45,29,302","1,66,11,979","1,91,70,102","2,13,69,382","2,34,66,814","2,53,27,558","2,67,36,805","2,79,83,749",,"1,91,70,102","2,08,16,382","2,21,53,696","2,26,44,308",,"1,91,70,102","2,19,49,382","2,51,96,814","2,87,81,558"
CITY OF DUARTE,CITY,,34.1394513,-117.9772873,LOS ANGELES COUNTY,"4,36,76,070","3,02,18,241","1,34,57,829","14,73,116","11,88,830","13,85,041","15,63,727","17,34,351","18,84,532","19,94,216","20,91,207",,"13,85,041","15,15,697","16,15,122","16,39,875",,"13,85,041","16,13,867","18,84,651","21,88,092"
CITY OF DUBLIN,CITY,,37.7021521,-121.9357918,ALAMEDA COUNTY,"5,53,64,473","4,07,13,489","1,46,50,984","17,64,548","19,29,305","22,10,651","25,16,599","27,55,897","29,71,052","31,30,502","32,74,085",,"22,10,651","24,52,199","26,33,517","27,19,114",,"22,10,651","25,83,999","29,58,197","33,78,552"
CITY OF DUNSMUIR,CITY,,41.2082089,-122.2719529,SISKIYOU COUNTY,"43,11,312","31,38,556","11,72,756","83,295","1,22,915","1,39,228","1,55,022","1,69,810","1,83,657","1,93,552","2,02,512",,"1,39,228","1,52,476","1,56,819","1,57,453",,"1,39,228","1,61,037","1,85,859","2,16,741"
CITY OF EAST PALO ALTO,CITY,,37.4688273,-122.1410751,SAN MATEO COUNTY,"3,52,54,337","2,48,19,323","1,04,35,014","16,58,497","18,52,355","20,52,404","22,95,956","24,67,789","26,28,506","27,56,341","28,73,431",,"20,52,404","22,56,756","24,16,675","25,19,769",,"20,52,404","23,35,956","25,89,889","28,74,506"
CITY OF EASTVALE,CITY,,33.952463,-117.5848025,RIVERSIDE COUNTY,"4,11,812","3,74,691","37,121","35,784","65,505","69,203","76,704","79,824","83,401","73,939","76,837",,"69,203","76,104","73,148","75,513",,"69,203","77,304","81,424","87,301"
CITY OF EL CAJON,CITY,,32.7947731,-116.9625269,SAN DIEGO COUNTY,"50,36,94,217","31,82,59,405","18,54,34,812","1,51,24,179","1,68,07,389","1,90,91,720","2,11,32,133","2,30,65,957","2,48,05,996","2,61,24,406","2,55,21,348",,"1,90,91,720","2,06,52,133","2,18,50,653","2,23,62,176",,"1,90,91,720","2,16,38,133","2,45,67,957","2,78,04,996"
CITY OF EL CENTRO,CITY,,32.792,-115.5630514,IMPERIAL COUNTY,"17,22,94,981","12,62,30,544","4,60,64,437","53,82,436","45,08,989","53,27,382","60,89,685","67,87,547","74,01,606","78,39,532","82,21,600",,"53,27,382","58,94,885","63,41,884","64,95,896",,"53,27,382","62,93,285","73,99,547","86,27,606"
CITY OF EL CERRITO,CITY,,37.9161326,-122.310765,CONTRA COSTA COUNTY,"17,17,66,055","11,27,53,041","5,90,13,014","55,56,949","62,91,735","71,21,473","79,37,005","86,58,020","93,05,881","98,01,569","1,02,43,970",,"71,21,473","77,60,805","82,55,174","84,89,905",,"71,21,473","81,20,105","92,09,220","1,04,11,781"
CITY OF EL MONTE,CITY,,34.0686206,-118.0275667,LOS ANGELES COUNTY,"44,45,60,663","30,96,02,707","13,49,57,956","1,34,83,470","1,53,34,251","1,73,15,653","1,90,14,638","1,65,48,067","1,79,59,399","1,90,35,781","1,99,74,364",,"1,73,15,653","1,85,45,638","1,53,97,860","1,56,27,585",,"1,73,15,653","1,95,09,638","1,80,21,067","2,08,98,399"
CITY OF EL SEGUNDO,CITY,,33.9191799,-118.4164652,LOS ANGELES COUNTY,"36,82,63,190","23,39,57,642","13,43,05,548","28,39,842","1,24,92,067","1,40,56,876","1,55,01,234","1,69,22,969","1,82,40,209","1,92,33,778","2,01,16,124",,"1,40,56,876","1,51,43,134","1,60,26,475","1,64,14,384",,"1,40,56,876","1,58,79,334","1,80,50,479","2,04,98,109"
CITY OF ELK GROVE,CITY,,38.4087993,-121.3716178,SACRAMENTO COUNTY,"9,50,51,072","7,69,60,627","1,80,90,445","47,26,146","52,17,177","58,40,105","66,73,971","71,82,067","76,53,543","80,18,039","83,53,500",,"58,40,105","65,54,771","71,07,251","74,96,249",,"58,40,105","67,98,371","75,56,867","84,00,543"
CITY OF EMERYVILLE,CITY,,37.831316,-122.2852473,ALAMEDA COUNTY,"10,74,55,449","7,65,13,199","3,09,42,250","23,76,358","29,85,034","35,08,018","39,26,692","43,44,583","46,92,498","49,19,072","51,05,439",,"35,08,018","37,87,292","39,81,628","39,56,849",,"35,08,018","40,74,192","47,78,983","55,50,398"
CITY OF ENCINITAS,CITY,,33.0369867,-117.2919818,SAN DIEGO COUNTY,"17,95,26,973","13,15,91,614","4,79,35,359","50,61,572","57,27,412","65,00,648","73,71,170","81,12,599","87,57,734","92,53,354","96,89,057",,"65,00,648","71,64,510","76,46,990","78,19,368",,"65,00,648","75,87,950","87,65,319","1,00,72,184"
CITY OF ESCALON,CITY,,37.7974273,-120.9966033,SAN JOAQUIN COUNTY,"1,77,80,932","1,23,73,140","54,07,792","5,98,580","5,96,913","6,75,345","7,54,873","8,27,009","8,92,579","9,40,071","9,84,143",,"6,75,345","7,35,773","7,78,413","7,93,079",,"6,75,345","7,76,073","8,87,639","10,14,508"
CITY OF ESCONDIDO,CITY,,33.1192068,-117.086421,SAN DIEGO COUNTY,"74,33,98,457","49,90,56,573","24,43,41,884","2,25,64,995","2,55,97,491","2,92,14,161","3,28,02,883","3,59,85,329","3,87,88,049","4,08,56,351","4,09,75,551",,"2,92,14,161","3,20,25,883","3,42,13,213","3,51,14,576",,"2,92,14,161","3,36,20,883","3,84,35,329","4,37,06,049"
CITY OF ETNA,CITY,,41.4568065,-122.8947551,SISKIYOU COUNTY,"15,35,121","12,30,862","3,04,259","42,387","48,224","49,318","56,731","63,863","68,923","72,292","76,370",,"49,318","54,601","58,794","51,385",,"49,318","58,851","69,933","82,053"
CITY OF EUREKA,CITY,,40.8020712,-124.1636729,HUMBOLDT COUNTY,"14,93,78,603","9,58,85,897","5,34,92,706","47,25,014","51,84,730","58,85,648","65,29,722","71,37,952","75,74,251","79,72,268","76,80,056",,"58,85,648","63,84,122","67,67,436","68,26,250",,"58,85,648","66,82,322","75,95,752","84,86,251"
CITY OF EXETER,CITY,,36.2960613,-119.1420517,TULARE COUNTY,"1,88,16,638","1,37,33,617","50,83,021","6,72,512","7,82,957","8,79,485","8,38,053","9,20,549","9,92,476","10,43,148","10,92,479",,"8,79,485","8,17,853","8,78,582","9,06,821",,"8,79,485","8,62,253","9,87,349","11,27,876"
CITY OF FAIRFIELD,CITY,,38.2493581,-122.0399663,SOLANO COUNTY,"56,26,18,558","39,29,06,375","16,97,12,183","1,45,84,054","1,69,73,935","1,96,28,261","2,20,41,311","2,42,21,080","2,62,46,492","2,77,23,777","2,90,28,171",,"1,96,28,261","2,14,37,311","2,28,16,173","2,33,69,688",,"1,96,28,261","2,26,76,311","2,61,19,080","3,00,45,492"
CITY OF FARMERSVILLE,CITY,,36.2977283,-119.2067767,TULARE COUNTY,"63,21,023","49,57,077","13,63,946","2,91,704","2,71,129","3,04,344","3,47,345","3,76,946","4,03,965","4,25,102","4,40,277",,"3,04,344","3,39,488","3,66,492","3,81,575",,"3,04,344","3,54,208","4,01,509","4,53,165"
CITY OF FILLMORE,CITY,,34.3991639,-118.918154,VENTURA COUNTY,"2,17,49,453","1,57,05,567","60,43,886","6,38,180","6,33,360","7,27,950","8,14,395","7,58,047","8,30,234","8,81,022","9,26,809",,"7,27,950","7,89,085","6,93,915","6,95,867",,"7,27,950","8,39,705","8,35,877","9,85,894"
CITY OF FIREBAUGH,CITY,,36.8588376,-120.4560072,FRESNO COUNTY,"1,37,46,716","99,70,671","37,76,045","5,01,588","5,41,793","5,31,556","6,03,623","6,63,287","7,16,256","7,55,430","7,89,767",,"5,31,556","5,87,553","6,32,032","6,52,364",,"5,31,556","6,19,683","7,12,487","8,13,636"
CITY OF FOLSOM,CITY,,38.6779591,-121.1760583,SACRAMENTO COUNTY,"36,16,38,440","22,82,19,519","13,34,18,921","1,30,16,657","1,42,02,060","1,62,42,353","1,71,82,904","1,83,61,221","1,94,39,888","1,94,86,064","2,03,89,916",,"1,62,42,353","1,68,23,904","1,75,25,134","1,77,71,960",,"1,62,42,353","1,75,61,904","1,95,02,221","2,17,41,888"
